Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1
World Economic Outlook,Annual percent change,W672PCPI%,LIBYA,Inflation,-5.22,-3.11,-0.26,8.01,7.42,9.17,5.44,6.29,12.08,23.07,11.11,11.00,11.71,10.48,12.41,9.09,3.27,4.40,3.10,1.30,8.60,11.70,18.00,23.00,17.00,10.00,7.00,6.00,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W946PCPI%,LITHUANIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.76,224.70,1021.00,410.44,72.07,39.46,24.68,8.85,5.10,2.40,4.30
World Economic Outlook,Annual percent change,W137PCPI%,LUXEMBOURG,Inflation,3.91,4.35,5.45,6.96,12.68,12.77,9.17,7.11,3.09,4.55,6.30,8.07,9.36,8.67,5.64,4.09,0.29,-0.13,1.52,3.37,3.70,3.12,3.15,3.59,2.19,1.92,1.37,1.37,1.60,1.70,1.70
World Economic Outlook,Annual percent change,W962PCPI%,MACEDONIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1692.60,338.64,126.42,16.25,2.07,1.54,0.60,n.a.,n.a.
World Economic Outlook,Annual percent change,W674PCPI%,MADAGASCAR,Inflation,2.82,5.49,5.62,6.11,22.00,8.22,4.99,3.08,6.56,13.98,18.28,30.46,31.91,19.47,9.72,10.57,14.49,15.46,26.34,9.01,11.79,8.54,15.29,9.24,39.07,49.04,19.77,4.53,6.20,n.a.,n.a.
World Economic Outlook,Annual percent change,W676PCPI%,MALAWI,Inflation,9.53,8.20,3.60,5.08,15.51,15.54,4.34,4.07,10.75,13.07,19.19,12.00,9.52,13.77,19.75,10.64,14.18,25.05,33.84,12.45,11.86,8.23,23.24,22.78,34.66,83.15,37.73,9.14,27.38,n.a.,n.a.
World Economic Outlook,Annual percent change,W548PCPI%,MALAYSIA,Inflation,1.91,1.58,3.21,10.55,17.38,4.50,2.57,4.81,4.99,3.54,6.72,9.70,5.83,3.70,3.90,2.59,0.35,0.74,0.29,2.56,2.81,2.62,4.72,3.54,3.73,3.40,3.53,2.66,5.27,3.64,5.00
World Economic Outlook,Annual percent change,W556PCPI%,MALDIVES,Inflation,4.32,5.62,5.49,10.03,18.34,0.00,31.40,-0.76,13.88,20.00,27.88,11.10,-0.81,9.89,0.99,-9.16,9.10,11.70,6.48,7.16,3.62,14.73,16.82,20.10,3.40,5.50,6.20,7.20,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W678PCPI%,MALI,Inflation,14.32,21.05,7.35,18.72,11.18,5.82,8.00,22.13,30.78,-0.93,20.25,3.90,3.90,6.21,4.04,10.80,-1.39,-14.94,8.95,-0.20,1.63,1.50,-5.91,-0.63,24.78,12.40,6.39,-0.64,4.23,n.a.,n.a.
World Economic Outlook,Annual percent change,W181PCPI%,MALTA,Inflation,3.70,2.32,3.33,7.77,7.28,8.80,0.55,10.05,4.70,7.08,15.79,11.48,5.81,-0.88,-0.43,-0.21,2.04,0.42,0.94,0.90,2.97,2.55,1.80,4.00,4.10,3.96,2.40,3.10,2.50,n.a.,n.a.
